tracking_number,status,eta,carrier_url,items,notes
EMK-10001,En tránsito,2025-09-26,https://carrier.example/EMK-10001,"[{""sku"":""P001"",""name"":""Shampoo Eco"", ""type"":""higiene""}]",Paquete en centro logístico
EMK-10002,Entregado,2025-09-20,https://carrier.example/EMK-10002,"[{""sku"":""P010"",""name"":""Café Orgánico"", ""type"":""perecedero""}]",Entregado a vecino
EMK-10003,Retrasado,2025-09-27,https://carrier.example/EMK-10003,"[{""sku"":""P100"",""name"":""Botella Reusable"", ""type"":""general""}]",Retraso por clima
EMK-10004,Preparando envío,2025-09-25,https://carrier.example/EMK-10004,"[{""sku"":""P002"",""name"":""Jabón Sólido"", ""type"":""higiene""}]",Etiquetado
EMK-10005,En tránsito,2025-09-28,https://carrier.example/EMK-10005,"[{""sku"":""P011"",""name"":""Té Verde"", ""type"":""perecedero""}]",Aduana
EMK-10006,Entregado,2025-09-21,https://carrier.example/EMK-10006,"[{""sku"":""P120"",""name"":""Cepillo Bambú"", ""type"":""general""}]",Entregado al cliente
EMK-10007,Cancelado,2025-09-22,https://carrier.example/EMK-10007,"[{""sku"":""P050"",""name"":""Detergente Eco"", ""type"":""higiene""}]",Cancelado por pago
EMK-10008,En tránsito,2025-09-29,https://carrier.example/EMK-10008,"[{""sku"":""P130"",""name"":""Termo Inox"", ""type"":""general""}]",Centro regional
EMK-10009,Retrasado,2025-09-30,https://carrier.example/EMK-10009,"[{""sku"":""P012"",""name"":""Granola"", ""type"":""perecedero""}]",Retraso por ruta
EMK-10010,Preparando envío,2025-09-26,https://carrier.example/EMK-10010,"[{""sku"":""P200"",""name"":""Bolsas Compostables"", ""type"":""general""}]",Empaque
